SKF LATIN AMERICAN LTDA,SKF LATIN AMERICAN LTDA.,804
SMART & SIMPLE ENGINEERING SAS,SMART & SIMPLE ENGINEERING S.A.S. - S&S,805
SMART INGENIERIA LTDA,SMART INGENIERÍA LTDA.,1422
SMARTBRIX ESPACIOS MODULARES S.A.S.,SMARTBRIX ESPACIOS MODULARES S.A.S.,1017
SLAB CODE S.A.S.,SLABCODE S.A.S,2046
SOCIEDAD AGRÍCOLA DE PALMEROS S.A. - AGROPALMA S.A.,SOCIEDAD AGRICOLA DE PALMEROS S.A. - AGROPALMA S.A.,2369
SOENERGY INTERNATIONAL COLOMBIA SAS,SOENERGY INTERNATIONAL COLOMBIA S.A.S,1424
SOFTWARE SHOP DE COLOMBIA S.A.S.,SOFTWARE SHOP DE COLOMBIA S.A.S.,2074
SOLDADURAS WEST ARCO S.A.S.,SOLDADURAS WEST ARCO SAS,806
SOLETANCHE BACHY CIMAS S.A.,SOLETANCHE-BACHY CIMAS S.A.,1425
SOLUCIONES OMEGA S.A.,SOLUCIONES OMEGA S.A.,1426
SOMAJK SAS,SOMAJK S.A.S.,1427
SOPESA S.A.  ESP,SOPESA S.A.,2039
STEER DAVIES & GLEAVE LIMITED,STEER DAVIES GLEAVE,1794
SUBER S.A.S,SUBER S.A.S.,1430
SUBSUELO 3D S.A.S.,SUBSUELO3D S.A.S.,815
SUCROAL S.A.,SUCROAL S.A,816
SUMMA INGENIERÍA Y CONSULTORÍA S.A.S.,SUMMA INGENIERÍA Y CONSULTORÍA S.A.S.,1547
SUPERVISA S.A,SUPERVISA S.A.,1007
SURELIN LTDA.,SURELIN LTDA.,2370
SYMRISE LTDA.,SYMRISE LTDA.,823
1/4 TECH S.A.S.,Un Cuarto Tech,309
TATIC SOLUCIONES EN INFORMATICA SUCURSAL COLOMBIA,TATIC SOLUCIONES EN INFORMÁTICA,2075
T&T TRÁNSITO Y TRANSPORTE INGENIERIA S.A.S. ,T&T TRANSITO Y TRANSPORTE INGENIERÍA S.A.S.,1006
TALLERES AUTORIZADOS S.A.,TALLERES AUTORIZADOS S.A.,1432
TANDEM INSOURCING SAS,TANDEM INSOURCING S.A.S.,1433
TEAM FOOD DE COLOMBIA SA,TEAM FOODS COLOMBIA S.A.,827
TECH DATA S.A. COLOMBIA S.A.S.,TECH DATA S.A. COLOMBIA S.A.S.,2372
TECMMAS S.A.S.,TECMMAS S.A.S.,1434
TECNIACRILICOS LTDA,TECNIACRILICOS LTDA.,1435
TECNOALIMENTICIA LTDA,TECNOALIMENTICIA LTDA.,1436
TEPPACK COLOMBIA LTDA,TEPPACK COLOMBIA LTDA,839
TIPIEL S.A.,TIPIEL S.A.,846
T-MEGA CONSULTORES,T-MEGA CONSULTORES S.A.S.,1441
TMS CLOUD S.A.S.,TMSCLOUD S.A.S.,1548
TMS COPORATION S.A.S.,TMS CORPORATION S.A.S.,1549
TORNADO DE COLOMBIA S.A.S.,TORNADO DE COLOMBIA S.A.S.,849
TORRESCAMARA Y CIA DE OBRAS SA - SUCURSAL COLOMBIA,TORRESCAMARA Y CIA DE OBRAS S.A. SUCURSAL COLOMBIA,1443
TOTAL INGENIERÍA Y ANALISIS,TOTAL INGENIERIA Y ANALISIS LTDA.,850
TRANSPORT SYSTEMS S.A.S.,TRANSPORT SYSTEMS S.A.S.,1444
TRANSPORTE Y COMERCIO INTERNACIONAL LTDA.,TRANSPORTE Y COMERCIO INTERNACIONAL LTDA.,1445
TRATAMIENTOS QUÍMICOS INDUSTRIALES S.A.S.,TRATAMIENTOS QUIMICOS INDUSTRIALES S.A.S.,2373
UNILEVER COLOMBIA SCC SAS ,UNILEVER COLOMBIA SCC SAS ,2374
UNIPALMA SA,UNIPALMA S.A.,1446
UNIVERSAL DE RACORES Y PERFILES LTDA,UNIVERSAL DE RACORES Y PERFILES LTDA.,854
UNIVERSAL LEARNING LTDA.,UNIVERSAL LEARNING LTDA.,1550
UNIVERSAL SEC SAS,UNIVERSAL SEC S.A.S.,988
UNIVERSIDAD CENTRAL ,UNIVERSIDAD CENTRAL DE COLOMBIA,1874
UPTIME ANALYTICS S.A.S.,UPTIME ANALYTICS S.A.S.,1507
URBANISM+SURFACE=PROFIT S.A.S.,URBANISM + SURFACE = PROFIT S.A.S.,1508
VA TOOLS LTDA,V.A. TOOLS LTDA.,1509
VALREX,VALREX S.A.S.,1510
VANGRTRY TECHNOLOGY SAS,VANGTRY TECHNOLOGY S.A.S.,1511
VARIADORES S.A.,VARIADORES S.A.,861
VASELINAS INDUSTRIALES DE COLOMBIA  - VASELIN SA,VASELINAS INDUSTRIALES DE COLOMBIA S.A.,862
VENTUROSO S.A.S.,VENTUROSO S.A.S.,1512
VÍAS Y GEOTECNIA S.A.S.,INGENIERIA VIAS Y GEOTECNIA S.A.S.,1551
VIDRIOS & LAMINADOS SAS,VIDRIOS Y LAMINADOS S.A.S.,1513
VILLA ISLA SPORTY,VILLA ISLA SPORTY,1514
WARCO S.A.S.,WARCO S.A.S.,2375
WIMA CONSTRUCCIONES SAS,WIMA CONSTRUCCIONES S.A.S,872
WOOMBAT CONSULTING GROUP SAS,WOOMBAT CONSULTING GROUP S.A.S.,1518
YANBAL DE COLOMBIA S.A.,YANBAL DE COLOMBIA S.A.,874
ZAMBRANOGROUP SAS,ZAMBRANOGROUP S.A.S.,1520
ZEMOGA SAS,ZEMOGA S.A.S,976
ZULCA EMPRESA DE SERVICIOS TEMPORALES,ZULCA EMPRESA DE SERVICIOS TEMPORALES,2376
ZENTECH S.A.S.,ZENTECH S.A.S.,1521
